茂名市康祥盛手套有限公司的法定代表人是谁？,林玉武
朱家角人民医院医用超声波仪器及设备项目中，第四包的采购预算为多少？,无
振动样品磁强计装备项目的特定资格要求中，是否允许联合体投标？,否，本次招标不接受联合体投标。
上海市精神卫生中心流式细胞仪项目的预算金额是多少？,1900000元
社保队员第三方购买服务项目的采购单位是哪个街道办事处？,上海市青浦区人民政府夏阳街道办事处
上海市养志康复医院（上海市阳光康复中心）虚拟现实康复训练系统项目的预算金额是多少？,3610000元
上海市第一人民医院重症医学病房建设项目（五）中，包3的设备是什么？,重症医学病房-颅内压、脑电监测设备（2023）
上海市浦东医院数字X光机采购项目的特定资格要求中，对经营企业有什么要求？,如果投标人是投标产品经营企业，应提供《第二类医疗器械经营备案凭证》（若二类医疗器械经营备案和三类医疗器械经营许可两证合一，则只需提供《医疗器械经营许可证》）或第三类《医疗器械经营许可证》。
设备添置项目的采购单位是哪所学校？,上海师范大学附属嘉定高级中学
采购高低温冲击试验箱等设备维保服务项目的预算金额是多少？,1090200元
4K高清腹腔镜项目的特定资格要求中，对代理商的授权有什么要求？,投标人若为代理商则必须提供有效期内的医疗器械经营许可证或备案证明。
电子支气管镜系统项目是否接受进口产品投标？,是，本项目接受进口产品投标。
耳鼻喉治疗工作站项目的预算金额是多少？,1200000元
上海大学稳态瞬态荧光光谱仪公开招标公告的项目编号是什么？,310000000230831132275-00039097
量子物性测量仪项目的特定资格要求中，对中小企业有什么规定？,本项目仅面向中、小、微型企业采购，仅采购中、小、微型企业制造商生产的产品。
2024年青浦区卫健委医疗设备采购项目一的预算金额是多少？,2350000元
上海电机学院激光增材再制造系统项目中，包2的预算金额是多少？,450000.00元
4K高清内窥镜镜系统项目的采购单位是哪家医院？,上海市浦东医院
外冈镇新成校智能化项目的预算金额是多少？,2795200元
Nd:YAG/LBO激光治疗机项目的特定资格要求中，对经营企业有什么要求？,如果投标人是经营企业，应提供医疗器械经营备案凭证（适用于第二类医疗器械）。
上海市崇明区长兴人民医院医疗设备采购项目的项目编号是什么？,310151000240722116857-51136759
医用血管造影X射线机项目的预算金额是多少？,12000000元
血管内超声 (IVUS) 设备项目的特定资格要求中，是否允许采购进口产品？,是，本项目已通过进口论证，可采购进口产品。
听力检测工作站项目的预算金额是多少？,1300000元
口腔颌面锥形束计算机体层摄影设备项目的联系人是谁？,高炜冰
TOMO乳腺摄影机项目的预算金额是多少？,2500000元
ND:YAG皮秒激光治疗仪项目的特定资格要求中，是否专门面向中小企业？,是，根据预算安排，本项目仅面向中小企业采购。
上海市第十人民医院崇明分院医疗设备采购项目的预算金额是多少？,6900000元
上海科技大学硬X射线自由电子激光装置-束线站总体第一阶段设备集成服务项目的特定资格要求中，对资质有什么要求？,投标人具有建设行政主管部门颁发的机电工程施工总承包三级及以上资质或者建筑机电安装工程专业承包二级及以上资质。
采购气相色谱仪等设备维保服务项目的预算金额是多少？,4060200元
朱家角人民医院康复类设备采购项目中，第四包的采购预算为多少？,无
掺铥光纤激光治疗机（第二次）项目的预算金额是多少？,3000000元
新华医院2024年医疗设备采购（六）中，包1的设备是什么？,主动脉内球囊反搏泵
4k荧光超声导航内窥镜摄像声镜联合系统（能力提升设备）项目的采购单位是哪家医院？,上海市第一人民医院
刑队装备项目的预算金额是多少？,7170000元
松江区中心医院应用系统云托管（运维）项目的特定资格要求中，是否接受联合体？,不接受联合体投标。
吊塔（病房）项目的预算金额是多少？,9855000元
流式细胞分选仪项目的特定资格要求中，对代理商有什么要求？,投标人须为投标设备的制造商或投标设备制造商授权的代理商（代理商必须提供制造商关于本项目的唯一授权书）。
正电子发射型计算机断层扫描仪（PET-CT）项目的采购单位是哪家医院？（注：文档中有两个相同项目）,上海市胸科医院 或 上海交通大学医学院附属仁济医院
上海中医药大学病-证-方专病队列三代测序检测服务项目的预算金额是多少？,3000000元
空气消毒设备项目的特定资格要求中，是否专门面向中小企业？,是，本项目属于专门面向中小企业、监狱企业、残疾人福利性单位采购的项目。
EUVL流体光源实验系统项目的特定资格要求中，是否允许采购进口产品？,不允许采购进口产品。
低压环境流动精确测量系统的预算金额是多少？,1420000元
电子内窥镜系统（胃肠镜）项目的特定资格要求中，对代理商有什么要求？,是专业生产本次所需设备的制造商，或由制造商或地区代理商指定的唯一授权代理（提供唯一授权书）。
图像监控系统备品备件采购项目的预算金额是多少？,8000000元
上海市第六人民医院营养代谢分析仪项目的预算金额是多少？,1200000元
上海市徐汇区政府采购中心-徐汇区牙病防治所流式细胞仪（第二次）政府采购项目是否拒绝采购进口产品？,是，本项目拒绝采购进口产品。
华东医院医疗设备1项目的预算金额是多少？,7100000元
消毒供应一体化服务项目的特定资格要求中，是否专门面向中小企业？,是，本项目为专门面向中小企业的项目。
超声吸引刀项目的采购单位是哪家医院？,上海交通大学医学院附属上海儿童医学中心
杨浦分局被监管人员伙房副食品供应项目的预算金额是多少？,4320000元
磁流变辅助控制装备项目的特定资格要求中，是否专门面向中小企业？,是，本项目专门面向中小企业采购（残疾人福利企业和监狱企业视同中小企业）。
文献整理与服务项目的预算金额是多少？,1000000元
电子计算机断层扫描（CT）检测系统（冶金凝固热模拟装备三维原位实时观测升级配套）项目的特定资格要求中，是否接受联合体？,不接受联合体报价。
医用吊塔、数字X线透视摄影系统和X线计算机断层扫描系统项目的预算金额是多少？,15460000元
新华医院奉贤院区项目购高档彩色多普勒超声诊断仪项目的预算金额是多少？,2500000元
新华医院2024年医疗设备（二）项目中，包4的预算金额是多少？,2600000.00元
上海市奉贤区政府采购信息2024-124—智能化血液冷库系统的预算金额是多少？,4591000元
波长色散X射线荧光光谱仪项目的特定资格要求中，对制造商授权有什么要求？,如果投标人所投的货物不是投标人自己制造的，投标人应得到制造商同意其在本次投标中提供该货物的正式授权书。
二级扩展舱指挥车购置项目的预算金额是多少？,9492900元
多通道脉冲电场消融仪系统项目的发布时间是哪天？,2024年10月9日
管棚设备采购款项目的特定资格要求中，是否专门面向中小企业？,否，本项目非专门面向中小企业或小型、微型企业采购。
彩色多普勒超声诊断仪项目的采购单位是哪家医院？（注意区分同名项目）,上海市东方医院
上海交通大学医学院附属新华医院自动分拣机项目的预算金额是多少？,1200000元
上海市养志康复医院（上海市阳光康复中心） 双平面立体荧光动态三维关节测量系统项目的预算金额是多少？,3000000元
上海市养志康复医院（上海市阳光康复中心） 抽真空工作台等设备项目的预算金额是多少？,3037104元
LD-QY02手动土壤采样器的生产厂家是哪家公司？,山东莱恩德智能科技有限公司
造景雪花白砂的单价是多少？,￥300.00
10-18目天然石英砂的产地是哪里？,湖北省襄阳
染色彩砂的单价是多少？,￥300.00
水处理填料石英砂的抗压强度是多少？,5.23MPa
美格 室内厚层自流平水泥的抗压强度是多少？,≥25MPa
景程自流平水泥的流动度是多少？,≥230mm
巨祥冶自流平水泥的初凝时间是多久？,8小时
防辐射硫酸钡砂的密度是多少？,3.8kg/m3
高强度C22圆棒的直径是多少？,60mm
验钞机银行专用人民币智能点钞机小型办公商用家用便携B类式数钱的供应商是哪家？,沭阳县寥若星亦电子商务有限公司
然鹏207B新版验钞机是否支持语音复读？,是
2020新品新大银行专用B类验钞机的生产企业是哪家？,未提供生产企业信息
数显式点钞机弹簧试验机的试验速度范围是多少？,0.001~500mm/min(任意调)
亨力验钞机点钞机的型号是什么？,IW858
5800C充电式便携外币点钞机支持哪些币种？,欧元、美元、港币、英镑、瑞士法郎
模具单件重型货架的载重是多少？,1000kg
奥典商超不锈钢货架的表面处理工艺是什么？,静电喷塑
时通仓储货架的适用范围包括哪些？,商超库房电商仓库
鸿盛源货架厂家定制商超专用存储架的产地是哪里？,湖南邵阳邵阳
钢鼎仓储轻型货架的产地是哪里？,湖北
东腾不锈钢重型货架的产地是哪里？,南京
购物篮塑料仿藤编的货号是什么？,GUI3108
金属购物篮超市不锈钢电镀铁线篮的产地是哪里？,广东省
家用竹编竹篮手提篮子的材质是什么？,竹编
纯手工竹编家用手提买菜竹篮的产地是哪里？,安徽省
超市网篮家用购物车大型容量理货仓库拣货网格仓储笼手推车万向轮的品牌是什么？,自主品牌
富雅达商超设备 大型超市双层购物车的规格是多少？,460mm*440mm*1000mm
半自动蛋饺机的加工温度范围是多少？,130-180℃
黑色门锁室内卧室家用通用型磁吸静音分体锁的面板材质是什么？,铝合金
新款别墅庭院门防水指纹锁的电源类型是什么？,直流电
固特门锁室内家用房门锁卧室黑色门把手静音分体锁通用型磁吸锁具的中心距是多少？,58mm
全套防火门锁304不锈钢防火锁6072分体锁的适用门厚度范围是多少？,35-50mm 50mm-70mm 60mm-80mm
莫兰迪白色门锁室内静音分体锁家用磁吸锁木门锁卧室房门锁门把手的品牌是什么？,雅戈曼
供应矿用宽体车面板锁的产地是哪里？,山东
门锁室内木门锁面板卧室静音房间门锁家用通用型门把手锁具的型号是什么？,防盗门换锁整套
XAT37-N/XAT38-N平面锁的产地是哪里？,上海
生久DKS-1面板锁方形锁DK604隐藏式锁扣的表面工艺是什么？,喷粉
供应MS866-5面板锁 发电机锁 电柜门锁的适用范围是什么？,电气柜.工业柜.通信柜等
厂家直供工业面板锁 方形电柜锁 机械面板拉手式平面锁扣MS866-4的产地是哪里？,上海
工程锁出租房锁换锁配锁室内双舌锁压把锁执手锁小50经济款门锁的锁芯材质是什么？,铝合金锁芯/塑料旋钮
名高牛头锁老式外装门锁防盗锁配件单舌双舌室内卧室房间门大门锁的产地是哪里？,广东省
固力木门锁老式房门锁防盗门锁双舌门锁外装木门锁双保险锁大门锁的产地是哪里？,广东省
樱花老款5050双舌锁体室内门6550房门锁舌7250木门锁具配件通用型的品牌是什么？,樱花
不锈钢140孔木门锁双舌静音执手锁室内卧室房门锁换锁133孔配锁把的产地是哪里？,沭阳县七雄社区高树村洪东组
包邮556外装单舌双舌门锁家用老式防盗门锁铁木木门防盗锁铜锁芯的产地是哪里？,宿迁市沭阳县新河镇春生村黄圩组059号
呆锁闭锁隐形门锁房门锁卧室锁暗锁单面锁通道单舌锁木门锁辅助锁的产地是哪里？,广东省
卫浴门锁铝合金门锁单舌执手锁厕所厨房玻璃门锁卫生间洗手间门锁的产地是哪里？,上海市
卫生间锁舌单舌锁木门锁房门浴室厕所单锁舌头配件洗手间通用型的产地是哪里？,浙江省
实拍5745大单舌太空铝门锁锁头锁芯通用型室内房间门执手锁老式锁的产地是哪里？,宿迁市沭阳县软件园A栋大厦4楼4077室
新跃单舌门锁卧室不锈钢房门锁静音单舌室内门锁带钥匙50锁舌老式的产地是哪里？,沭阳县颖都花园1号楼2单元203室
精品304不锈钢锁卧室门锁室内家用房门单舌静音锁房间门锁面板锁的产地是哪里？,沭阳县七雄社区高树村洪东组
利事发不锈钢球形门锁房门锁室内把手锁执手锁卧室通用型圆球锁的产地是哪里？,上海市
白色球形锁三杆锁圆锁铝合金门塑钢门卫浴三插锁卫生间的产地是哪里？,浙江省
玥玛C级球形锁家用门锁室内卧室门卫生间厕所不锈钢房间木门圆锁的产地是哪里？,广东省
通用型门锁舌配件球形锁门锁室内圆锁锁芯卧室老式门执手锁心锁舌的产地是哪里？,宿迁市沭阳县新河镇春生村黄圩组059号
球形锁门锁室内卧室房门锁不锈钢通用卫生间实木门圆球形锁芯锁具的产地是哪里？,宿迁市沭阳县新河镇春生村黄圩组059号
铝合金门锁家用通用型门把手执手锁带钥匙球形锁的产地是哪里？,广东省
"中和 户外独立卫生间 百叶窗,底框球形锁 白色蓝色墙砖色 板厚0.3的产地是哪里？",山东省
移门锁钩锁推拉门单面锁玻璃铝合金暗门隐形阳台锁老式门锁90锁扣的品牌是什么？,鸿图
木门吊门推拉门锁移门锁黑色门锁室内厨房钩锁隐形勾锁拉手滑门锁的品牌是什么？,BUFEISON/步菲
卫生间移门锁明插销 无框阳台门弹簧插销推拉门锁飞机插销窗户锁的品牌是什么？,莱韦诗
固定家用推门锁移门锁铝合金平开门锁子窗扣滑动卫生间门钩门窗锁的品牌是什么？,缘百年
推拉移门锁 橱柜趟门锁 铝合金阳台木门纱窗钥匙弹簧插销40mm锁芯的品牌是什么？,春塑
不锈钢锁搭扣门栓免打孔门插销门扣防盗锁扣谷仓门卡扣推拉移门锁的品牌是什么？,VEXG
门锁免打孔移门锁插销老式门锁扣搭扣卫生间厕所推拉房门栓门扣锁的品牌是什么？,gemasp/格玛斯
鑫远鹏多功能外开铝合金平开窗锁 推拉门拉手折叠移门锁的产地是哪里？,广东
