0,1
投标人相互串通投标或者与招标人串通投标的，应如何处罚？,根据《招标投标法》第五十三条，中标无效，处中标项目金额千分之五以上千分之十以下的罚款，对单位直接负责的主管人员和其他直接责任人员处单位罚款数额百分之五以上百分之十以下的罚款；有违法所得的，并处没收违法所得；情节严重的，取消其一至二年内参加依法必须进行招标的项目的投标资格并予以公告，直至由工商行政管理机关吊销营业执照；构成犯罪的，依法追究刑事责任。
投标人以他人名义投标或者以其他方式弄虚作假，骗取中标的，应如何处罚？,根据《招标投标法》第五十四条，中标无效，给招标人造成损失的，依法承担赔偿责任；构成犯罪的，依法追究刑事责任。依法必须进行招标的项目的投标人有前款所列行为尚未构成犯罪的，处中标项目金额千分之五以上千分之十以下的罚款，对单位直接负责的主管人员和其他直接责任人员处单位罚款数额百分之五以上百分之十以下的罚款；有违法所得的，并处没收违法所得；情节严重的，取消其一至三年内参加依法必须进行招标的项目的投标资格并予以公告，直至由工商行政管理机关吊销营业执照。
评标委员会成员收受投标人财物或者其他好处的，应如何处罚？,根据《招标投标法》第五十六条，给予警告，没收收受的财物，可以并处三千元以上五万元以下的罚款，对有所列违法行为的评标委员会成员取消担任评标委员会成员的资格，不得再参加任何依法必须进行招标的项目的评标；构成犯罪的，依法追究刑事责任。
中标人无正当理由不与招标人订立合同，应承担什么责任？,根据《招标投标法实施条例》第七十四条，取消其中标资格，投标保证金不予退还。对依法必须进行招标的项目的中标人，由有关行政监督部门责令改正，可以处中标项目金额千分之十以下的罚款。
中标人将中标项目转让给他人的，应如何处罚？,根据《招标投标法》第五十八条，转让、分包无效，处转让、分包项目金额千分之五以上千分之十以下的罚款；有违法所得的，并处没收违法所得；可以责令停业整顿；情节严重的，由工商行政管理机关吊销营业执照。
对招标投标活动依法负有行政监督职责的国家机关工作人员徇私舞弊、滥用职权或玩忽职守的，应如何追究责任？,根据《招标投标法》第六十三条，构成犯罪的，依法追究刑事责任；不构成犯罪的，依法给予行政处分。
采购人、采购代理机构隐匿、销毁应当保存的采购文件或者伪造、变造采购文件的，应如何处罚？,根据《政府采购法》第七十六条，由政府采购监督管理部门处以二万元以上十万元以下的罚款，对其直接负责的主管人员和其他直接责任人员依法给予处分；构成犯罪的，依法追究刑事责任。
供应商提供虚假材料谋取中标、成交的，应如何处罚？,根据《政府采购法》第七十七条，处以采购金额千分之五以上千分之十以下的罚款，列入不良行为记录名单，在一至三年内禁止参加政府采购活动，有违法所得的，并处没收违法所得，情节严重的，由工商行政管理机关吊销营业执照；构成犯罪的，依法追究刑事责任。
政府采购监督管理部门的工作人员在实施监督检查中违反本法规定滥用职权，玩忽职守，徇私舞弊的，应如何追究责任？,根据《政府采购法》第八十条，依法给予行政处分；构成犯罪的，依法追究刑事责任。
哪些部门对招标投标活动实施行政监督？,根据《国务院有关部门实施招标投标活动行政监督的职责分工的意见》（国办发〔2000〕34号），由发展改革、工业和信息化、住房城乡建设、交通运输、水利、商务等部门按行业分工实施监督。
国家发展改革委在招标投标活动中的主要职责是什么？,根据《招标投标法实施条例》第四条，国务院发展改革部门指导和协调全国招标投标工作，对国家重大建设项目的工程招标投标活动实施监督检查。
财政部门在政府采购活动中的主要职责是什么？,根据《政府采购法》第十三条，各级人民政府财政部门是负责政府采购监督管理的部门，依法履行对政府采购活动的监督管理职责。
监察机关在招标投标和政府采购活动中的角色是什么？,根据相关法律法规，监察机关依法对与招标投标、政府采购活动有关的监察对象实施监察。
《招标投标法实施条例》中规定的“信用制度”是什么？,根据《招标投标法实施条例》第七十八条，国家建立招标投标信用制度。有关行政监督部门应当依法公告对招标人、招标代理机构、投标人、评标委员会成员等当事人违法行为的行政处理决定。
在招标投标活动中，对违法行为的行政处罚由谁决定？,根据《招标投标法》第六十一条，由国务院规定的有关行政监督部门决定。本法已对实施行政处罚的机关作出规定的除外。
依法必须招标的项目，招标人应何时向行政监督部门提交招标投标情况的书面报告？,根据《招标投标法》第四十七条规定，招标人应当自确定中标人之日起十五日内，向有关行政监督部门提交招标投标情况的书面报告。
依法必须进行政府采购的项目，采购人应何时将合同副本报备？,根据《政府采购法》第四十七条，采购人与中标、成交供应商应当在中标、成交通知书发出之日起三十日内，按照采购文件确定的事项签订政府采购合同。政府采购项目的采购合同自签订之日起七个工作日内，采购人应当将合同副本报同级政府采购监督管理部门和有关部门备案。
如何查询招标投标违法行为记录公告？,根据《招标投标违法行为记录公告暂行办法》（发改法规〔2008〕1531号），由有关行政监督部门在指定媒体上公告。实践中，相关信息也会在“信用中国”网站、各级公共资源交易平台等同步公开。
什么是必须招标的工程项目？ ,根据《招标投标法》第三条，在中华人民共和国境内进行下列工程建设项目包括项目的勘察、设计、施工、监理以及与工程建设有关的重要设备、材料等的采购，必须进行招标：（一）大型基础设施、公用事业等关系社会公共利益、公众安全的项目；（二）全部或者部分使用国有资金投资或者国家融资的项目；（三）使用国际组织或者外国政府贷款、援助资金的项目。
依法必须招标项目的规模标准是什么？ ,根据《必须招标的工程项目规定》（国家发展改革委令第16号），勘察、设计、施工、监理以及与工程建设有关的重要设备、材料等的采购达到下列标准之一的，必须招标：（一）施工单项合同估算价在400万元人民币以上；（二）重要设备、材料等货物的采购，单项合同估算价在200万元人民币以上；（三）勘察、设计、监理等服务的采购，单项合同估算价在100万元人民币以上。同一项目中可以合并进行的采购，合同估算价合计达到前款规定标准的，必须招标。
招标分为哪两种方式？ ,根据《招标投标法》第十条，招标分为公开招标和邀请招标。公开招标是指招标人以招标公告的方式邀请不特定的法人或者其他组织投标；邀请招标是指招标人以投标邀请书的方式邀请特定的法人或者其他组织投标。
什么情况下可以邀请招标？ ,根据《招标投标法实施条例》第八条，国有资金占控股或者主导地位的依法必须进行招标的项目，应当公开招标；但有下列情形之一的，可以邀请招标：（一）技术复杂、有特殊要求或者受自然环境限制，只有少量潜在投标人可供选择；（二）采用公开招标方式的费用占项目合同金额的比例过大。
什么情况下可以不进行招标？ ,根据《招标投标法实施条例》第九条，除《招标投标法》第六十六条规定的可以不进行招标的特殊情况外，有下列情形之一的，可以不进行招标：（一）需要采用不可替代的专利或者专有技术；（二）采购人依法能够自行建设、生产或者提供；（三）已通过招标方式选定的特许经营项目投资人依法能够自行建设、生产或者提供；（四）需要向原中标人采购工程、货物或者服务，否则将影响施工或者功能配套要求；（五）国家规定的其他特殊情形。
招标人自行办理招标需要具备什么条件？ ,根据《招标投标法》第十二条，招标人具有编制招标文件和组织评标能力的，可以自行办理招标事宜。根据《工程建设项目自行招标试行办法》第四条，具体包括：（一）具有项目法人资格（或者法人资格）；（二）具有与招标项目规模和复杂程度相适应的工程技术、概预算、财务和工程管理等方面专业技术力量；（三）有从事同类工程建设项目招标的经验；（四）拥有3名以上取得招标职业资格的专职招标业务人员；（五）熟悉和掌握招标投标法及有关法规规章。
什么是招标代理机构？需要具备什么条件？ ,根据《招标投标法》第十三条，招标代理机构是依法设立、从事招标代理业务并提供相关服务的社会中介组织。应当具备下列条件：（一）有从事招标代理业务的营业场所和相应资金；（二）有能够编制招标文件和组织评标的相应专业力量。根据《招标投标法实施条例》第十二条，招标代理机构应当拥有一定数量的具备编制招标文件、组织评标等相应能力的专业人员。
招标文件应当包括哪些内容？ ,根据《招标投标法》第十九条，招标文件应当包括招标项目的技术要求、对投标人资格审查的标准、投标报价要求和评标标准等所有实质性要求和条件以及拟签订合同的主要条款。国家对招标项目的技术、标准有规定的，招标人应当按照其规定在招标文件中提出相应要求。招标项目需要划分标段、确定工期的，招标人应当合理划分标段、确定工期，并在招标文件中载明。
招标文件能否要求或者标明特定的生产供应者？ ,不能。根据《招标投标法》第二十条，招标文件不得要求或者标明特定的生产供应者以及含有倾向或者排斥潜在投标人的其他内容。
招标人对已发出的招标文件进行澄清或修改有什么要求？ ,根据《招标投标法》第二十三条，招标人对已发出的招标文件进行必要的澄清或者修改的，应当在招标文件要求提交投标文件截止时间至少十五日前，以书面形式通知所有招标文件收受人。该澄清或者修改的内容为招标文件的组成部分。根据《招标投标法实施条例》第二十一条，澄清或者修改的内容可能影响资格预审申请文件或者投标文件编制的，招标人应当在提交资格预审申请文件截止时间至少3日前，或者投标截止时间至少15日前通知。
依法必须进行招标的项目，自招标文件开始发出之日起至投标人提交投标文件截止之日止，最短不得少于多少日？ ,根据《招标投标法》第二十四条，依法必须进行招标的项目，自招标文件开始发出之日起至投标人提交投标文件截止之日止，最短不得少于二十日。
投标人应当具备什么条件？ ,根据《招标投标法》第二十六条，投标人应当具备承担招标项目的能力；国家有关规定对投标人资格条件或者招标文件对投标人资格条件有规定的，投标人应当具备规定的资格条件。
什么是联合体投标？有什么要求？ ,根据《招标投标法》第三十一条，两个以上法人或者其他组织可以组成一个联合体，以一个投标人的身份共同投标。联合体各方均应当具备承担招标项目的相应能力；国家有关规定或者招标文件对投标人资格条件有规定的，联合体各方均应当具备规定的相应资格条件。由同一专业的单位组成的联合体，按照资质等级较低的单位确定资质等级。联合体各方应当签订共同投标协议，明确约定各方拟承担的工作和责任，并将共同投标协议连同投标文件一并提交招标人。联合体中标的，联合体各方应当共同与招标人签订合同，就中标项目向招标人承担连带责任。
哪些行为属于投标人相互串通投标？ ,根据《招标投标法实施条例》第三十九条，有下列情形之一的，属于投标人相互串通投标：（一）投标人之间协商投标报价等投标文件的实质性内容；（二）投标人之间约定中标人；（三）投标人之间约定部分投标人放弃投标或者中标；（四）属于同一集团、协会、商会等组织成员的投标人按照该组织要求协同投标；（五）投标人之间为谋取中标或者排斥特定投标人而采取的其他联合行动。
哪些情形视为投标人相互串通投标？ ,根据《招标投标法实施条例》第四十条，有下列情形之一的，视为投标人相互串通投标：（一）不同投标人的投标文件由同一单位或者个人编制；（二）不同投标人委托同一单位或者个人办理投标事宜；（三）不同投标人的投标文件载明的项目管理成员为同一人；（四）不同投标人的投标文件异常一致或者投标报价呈规律性差异；（五）不同投标人的投标文件相互混装；（六）不同投标人的投标保证金从同一单位或者个人的账户转出。
什么是低于成本报价竞标？如何处理？ ,根据《招标投标法》第三十三条，投标人不得以低于成本的报价竞标。根据《评标委员会和评标方法暂行规定》第二十一条，在评标过程中，评标委员会发现投标人的报价明显低于其他投标报价或者在设有标底时明显低于标底，使得其投标报价可能低于其个别成本的，应当要求该投标人作出书面说明并提供相关证明材料。投标人不能合理说明或者不能提供相关证明材料的，由评标委员会认定该投标人以低于成本报价竞标，应当否决其投标。
开标应当在什么时间、什么地点进行？ ,根据《招标投标法》第三十四条，开标应当在招标文件确定的提交投标文件截止时间的同一时间公开进行；开标地点应当为招标文件中预先确定的地点。
评标委员会如何组成？ ,根据《招标投标法》第三十七条，依法必须进行招标的项目，其评标委员会由招标人的代表和有关技术、经济等方面的专家组成，成员人数为五人以上单数，其中技术、经济等方面的专家不得少于成员总数的三分之二。前款专家应当从事相关领域工作满八年并具有高级职称或者具有同等专业水平，由招标人从国务院有关部门或者省、自治区、直辖市人民政府有关部门提供的专家名册或者招标代理机构的专家库内的相关专业的专家名单中确定；一般招标项目可以采取随机抽取方式，特殊招标项目可以由招标人直接确定。
哪些人员不得担任评标委员会成员？ ,根据《评标委员会和评标方法暂行规定》第十二条，有下列情形之一的，不得担任评标委员会成员：（一）投标人或者投标人主要负责人的近亲属；（二）项目主管部门或者行政监督部门的人员；（三）与投标人有经济利益关系，可能影响对投标公正评审的；（四）曾因在招标、评标以及其他与招标投标有关活动中从事违法行为而受过行政处罚或刑事处罚的。
评标委员会成员应当履行哪些义务？ ,根据《招标投标法》第四十四条，评标委员会成员应当客观、公正地履行职务，遵守职业道德，对所提出的评审意见承担个人责任。评标委员会成员不得私下接触投标人，不得收受投标人的财物或者其他好处。评标委员会成员和参与评标的有关工作人员不得透露对投标文件的评审和比较、中标候选人的推荐情况以及与评标有关的其他情况。
中标人的投标应当符合什么条件？ ,根据《招标投标法》第四十一条，中标人的投标应当符合下列条件之一：（一）能够最大限度地满足招标文件中规定的各项综合评价标准；（二）能够满足招标文件的实质性要求，并且经评审的投标价格最低；但是投标价格低于成本的除外。
招标人和中标人应当何时签订书面合同？ ,根据《招标投标法》第四十六条，招标人和中标人应当自中标通知书发出之日起三十日内，按照招标文件和中标人的投标文件订立书面合同。招标人和中标人不得再行订立背离合同实质性内容的其他协议。
招标文件要求中标人提交履约保证金的，有什么限制？ ,根据《招标投标法实施条例》第五十八条，招标文件要求中标人提交履约保证金的，中标人应当按照招标文件的要求提交。履约保证金不得超过中标合同金额的10%。
投标保证金有什么规定？ ,根据《招标投标法实施条例》第二十六条，招标人在招标文件中要求投标人提交投标保证金的，投标保证金不得超过招标项目估算价的2%。投标保证金有效期应当与投标有效期一致。依法必须进行招标的项目的境内投标单位，以现金或者支票形式提交的投标保证金应当从其基本账户转出。招标人不得挪用投标保证金。
